| time |reset|ARegister|DRegister|PC[]| RAM16K[16] | RAM16K[17] | RAM16K[18] |
| 0    |  0  |       0 |       0 |   0|          0 |          0 |          0 |
| 1    |  0  |      16 |       0 |   1|         25 |          7 |          0 |
| 2    |  0  |      16 |      25 |   2|         25 |          7 |          0 |
| 3    |  0  |      17 |      25 |   3|         25 |          7 |          0 |
| 4    |  0  |      17 |      18 |   4|         25 |          7 |          0 |
| 5    |  0  |      10 |      18 |   5|         25 |          7 |          0 |
| 6    |  0  |      10 |      18 |  10|         25 |          7 |          0 |
| 7    |  0  |      18 |      18 |  11|         25 |          7 |          0 |
| 8    |  0  |      18 |      18 |  12|         25 |          7 |         18 |
| 9    |  0  |       0 |      18 |  13|         25 |          7 |         18 |
| 10   |  0  |       0 |      18 |  14|         25 |          7 |         18 |
| 11   |  0  |       0 |      18 |  15|         25 |          7 |         18 |
| 12   |  0  |       0 |      18 |  16|         25 |          7 |         18 |
| 13   |  0  |       0 |      18 |  17|         25 |          7 |         18 |
| 14   |  0  |       0 |      18 |  18|         25 |          7 |         18 |
| 15   |  0  |       0 |      18 |  19|         25 |          7 |         18 |
| 16   |  1  |       0 |      18 |   0|          0 |          0 |          0 |
| 17   |  0  |      16 |      18 |   1|          2 |          7 |          0 |
| 18   |  0  |      16 |       2 |   2|          2 |          7 |          0 |
| 19   |  0  |      17 |       2 |   3|          2 |          7 |          0 |
| 20   |  0  |      17 |      -5 |   4|          2 |          7 |          0 |
| 21   |  0  |      10 |      -5 |   5|          2 |          7 |          0 |
| 22   |  0  |      10 |      -5 |   6|          2 |          7 |          0 |
| 23   |  0  |      17 |      -5 |   7|          2 |          7 |          0 |
| 24   |  0  |      17 |       7 |   8|          2 |          7 |          0 |
| 25   |  0  |      16 |       7 |   9|          2 |          7 |          0 |
| 26   |  0  |      16 |       5 |  10|          2 |          7 |          0 |
| 27   |  0  |      18 |       5 |  11|          2 |          7 |          0 |
| 28   |  0  |      18 |       5 |  12|          2 |          7 |          5 |
| 29   |  0  |       0 |       5 |  13|          2 |          7 |          5 |
| 30   |  0  |       0 |       5 |  14|          2 |          7 |          5 |
| 31   |  0  |       0 |       5 |  15|          2 |          7 |          5 |
| 32   |  1  |       0 |       5 |   0|          0 |          0 |          0 |
| 33   |  0  |      16 |       5 |   1|          5 |          5 |          0 |
| 34   |  0  |      16 |       5 |   2|          5 |          5 |          0 |
| 35   |  0  |      17 |       5 |   3|          5 |          5 |          0 |
| 36   |  0  |      17 |       0 |   4|          5 |          5 |          0 |
| 37   |  0  |      10 |       0 |   5|          5 |          5 |          0 |
| 38   |  0  |      10 |       0 |   6|          5 |          5 |          0 |
| 39   |  0  |      17 |       0 |   7|          5 |          5 |          0 |
| 40   |  0  |      17 |       5 |   8|          5 |          5 |          0 |
| 41   |  0  |      16 |       5 |   9|          5 |          5 |          0 |
| 42   |  0  |      16 |       0 |  10|          5 |          5 |          0 |
| 43   |  0  |      18 |       0 |  11|          5 |          5 |          0 |
| 44   |  0  |      18 |       0 |  12|          5 |          5 |          0 |
| 45   |  0  |       0 |       0 |  13|          5 |          5 |          0 |
| 46   |  0  |       0 |       0 |  14|          5 |          5 |          0 |
| 47   |  0  |       0 |       0 |  15|          5 |          5 |          0 |
| 48   |  1  |       0 |       0 |   0|          0 |          0 |          0 |
