| time |reset|ARegister|DRegister|PC[]| RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] |
| 0    |  0  |       0 |       0 |   0|          0 |          0 |          0 |          0 |
| 1    |  0  |      16 |       0 |   1|          3 |          5 |          3 |          0 |
| 2    |  0  |      16 |       3 |   2|          3 |          5 |          3 |          0 |
| 3    |  0  |      17 |       3 |   3|          3 |          5 |          3 |          0 |
| 4    |  0  |      17 |       8 |   4|          3 |          5 |          3 |          0 |
| 5    |  0  |      18 |       8 |   5|          3 |          5 |          3 |          0 |
| 6    |  0  |      18 |       5 |   6|          3 |          5 |          3 |          0 |
| 7    |  0  |      19 |       5 |   7|          3 |          5 |          3 |          0 |
| 8    |  0  |      19 |       5 |   8|          3 |          5 |          3 |          5 |
| 9    |  0  |       0 |       5 |   9|          3 |          5 |          3 |          5 |
| 10   |  0  |       0 |       5 |  10|          3 |          5 |          3 |          5 |
| 11   |  1  |       0 |       5 |   0|          0 |          0 |          0 |          0 |
| 12   |  0  |      16 |       5 |   1|         12 |          3 |         11 |          0 |
| 13   |  0  |      16 |      12 |   2|         12 |          3 |         11 |          0 |
| 14   |  0  |      17 |      12 |   3|         12 |          3 |         11 |          0 |
| 15   |  0  |      17 |      15 |   4|         12 |          3 |         11 |          0 |
| 16   |  0  |      18 |      15 |   5|         12 |          3 |         11 |          0 |
| 17   |  0  |      18 |       4 |   6|         12 |          3 |         11 |          0 |
| 18   |  0  |      19 |       4 |   7|         12 |          3 |         11 |          0 |
| 19   |  0  |      19 |       4 |   8|         12 |          3 |         11 |          4 |
| 20   |  0  |       0 |       4 |   9|         12 |          3 |         11 |          4 |
| 21   |  0  |       0 |       4 |  10|         12 |          3 |         11 |          4 |
| 22   |  1  |       0 |       4 |   0|          0 |          0 |          0 |          0 |
| 23   |  0  |      16 |       4 |   1|          9 |         15 |         13 |          0 |
| 24   |  0  |      16 |       9 |   2|          9 |         15 |         13 |          0 |
| 25   |  0  |      17 |       9 |   3|          9 |         15 |         13 |          0 |
| 26   |  0  |      17 |      24 |   4|          9 |         15 |         13 |          0 |
| 27   |  0  |      18 |      24 |   5|          9 |         15 |         13 |          0 |
| 28   |  0  |      18 |      11 |   6|          9 |         15 |         13 |          0 |
| 29   |  0  |      19 |      11 |   7|          9 |         15 |         13 |          0 |
| 30   |  0  |      19 |      11 |   8|          9 |         15 |         13 |         11 |
| 31   |  0  |       0 |      11 |   9|          9 |         15 |         13 |         11 |
| 32   |  0  |       0 |      11 |  10|          9 |         15 |         13 |         11 |
| 33   |  1  |       0 |      11 |   0|          0 |          0 |          0 |          0 |
| 34   |  0  |      16 |      11 |   1|          7 |         12 |         15 |          0 |
| 35   |  0  |      16 |       7 |   2|          7 |         12 |         15 |          0 |
| 36   |  0  |      17 |       7 |   3|          7 |         12 |         15 |          0 |
| 37   |  0  |      17 |      19 |   4|          7 |         12 |         15 |          0 |
| 38   |  0  |      18 |      19 |   5|          7 |         12 |         15 |          0 |
| 39   |  0  |      18 |       4 |   6|          7 |         12 |         15 |          0 |
| 40   |  0  |      19 |       4 |   7|          7 |         12 |         15 |          0 |
| 41   |  0  |      19 |       4 |   8|          7 |         12 |         15 |          4 |
| 42   |  0  |       0 |       4 |   9|          7 |         12 |         15 |          4 |
| 43   |  0  |       0 |       4 |  10|          7 |         12 |         15 |          4 |
| 44   |  1  |       0 |       4 |   0|          0 |          0 |          0 |          0 |
| 45   |  0  |      16 |       4 |   1|          9 |          5 |          6 |          0 |
| 46   |  0  |      16 |       9 |   2|          9 |          5 |          6 |          0 |
| 47   |  0  |      17 |       9 |   3|          9 |          5 |          6 |          0 |
| 48   |  0  |      17 |      14 |   4|          9 |          5 |          6 |          0 |
| 49   |  0  |      18 |      14 |   5|          9 |          5 |          6 |          0 |
| 50   |  0  |      18 |       8 |   6|          9 |          5 |          6 |          0 |
| 51   |  0  |      19 |       8 |   7|          9 |          5 |          6 |          0 |
| 52   |  0  |      19 |       8 |   8|          9 |          5 |          6 |          8 |
| 53   |  0  |       0 |       8 |   9|          9 |          5 |          6 |          8 |
| 54   |  0  |       0 |       8 |  10|          9 |          5 |          6 |          8 |
| 55   |  1  |       0 |       8 |   0|          0 |          0 |          0 |          0 |
